,id,title,popularity,release_date
505,777,Grand Illusion,18.003,1937-01-01
506,631,Sunrise: A Song of Two Humans,16.976,1927-11-04
507,579245,The Specials,15.438,2019-10-23
508,585,"Monsters, Inc.",116.096,2001-11-01
509,185789,Mulholland Dr.,10.313,1999-01-01
510,11830,Tampopo,14.321,1985-11-23
511,5924,Papillon,23.175,1973-12-16
512,115,The Big Lebowski,37.675,1998-03-06
513,632322,All My Life,18.999,2020-10-23
514,14574,The Boy in the Striped Pyjamas,54.941,2008-05-07
515,2440,Joint Security Area,18.659,2000-09-09
516,293299,Feast,13.68,2014-10-25
517,968,Dog Day Afternoon,20.537,1975-09-21
518,937746,Io Capitano,36.313,2023-09-07
519,715931,Emancipation,35.627,2022-12-02
520,1394,Nostalgia,16.392,1983-05-01
521,24167,Two Women,28.293,1960-12-22
522,937746,Io Capitano,36.313,2023-09-07
523,3870,1900,17.381,1976-08-28
524,391,A Fistful of Dollars,28.781,1964-09-12
525,712454,The Summit of the Gods,10.68,2021-09-22
526,198,To Be or Not to Be,16.703,1942-03-05
527,200727,"Love, Rosie",43.627,2014-10-16
528,9479,The Nightmare Before Christmas,105.521,1993-10-09
529,2721,Z,11.213,1969-02-26
530,980489,Gran Turismo,96.076,2023-08-09
531,826,The Bridge on the River Kwai,25.043,1957-10-11
532,152742,The Best Offer,14.169,2013-01-01
533,11656,The Virgin Spring,13.388,1960-02-08
534,10191,How to Train Your Dragon,76.966,2010-03-18
535,398924,A Bag of Marbles,14.426,2017-01-18
536,32480,The Marquis of Grillo,6.48,1981-12-23
537,16859,Kiki's Delivery Service,42.377,1989-07-29
538,805,Rosemary's Baby,25.726,1968-06-12
539,93,Anatomy of a Murder,23.013,1959-01-07
540,783675,The First Slam Dunk,42.994,2022-12-03
541,2062,Ratatouille,92.789,2007-06-21
542,508943,Luca,68.732,2021-06-17
543,10775,Infernal Affairs,20.983,2002-12-12
544,301,Rio Bravo,32.777,1959-03-18
545,263115,Logan,92.845,2017-02-28
546,530254,The Witch: Part 1. The Subversion,34.732,2018-06-27
547,303867,World of Tomorrow,7.451,2015-01-22
548,10774,Network,21.239,1976-11-14
549,3078,It Happened One Night,20.635,1934-02-22
550,12,Finding Nemo,82.398,2003-05-30
551,779047,Us Again,18.926,2021-03-03
552,677638,We Bare Bears: The Movie,22.433,2020-06-30
553,650031,The Shadow in My Eye,17.078,2021-10-28
554,83564,La luna,9.913,2012-02-10
555,33320,Millennium Actress,24.449,2002-09-14
